Portfolio value change between 2026-04-07 and 2026-04-08

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.720   0.165   10.61%  153,181  263,471.32  25,274.87
AMP       1.310   0.045    3.56%   70,000   91,700.00   3,150.00
ASM       1.480   0.015    1.02%   57,458   85,037.84     861.87
BHP      54.530   1.610    3.04%   16,361  892,165.33  26,341.21
CAN       0.005  -0.001  -16.67%   44,090      220.45     -44.09
CBA     180.210   3.270    1.85%        0        0.00       0.00
CNB       0.470   0.030    6.82%   10,000    4,700.00     300.00
E25       0.325   0.005    1.56%   20,000    6,500.00     100.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00    -700.00
PTR       0.115   0.015   15.00%    9,412    1,082.38     141.18
VML       0.140   0.005    3.70%    6,000      840.00      30.00
WBC      41.950   1.150    2.82%        0        0.00       0.00
WDS      32.060  -3.740  -10.45%    1,288   41,293.28  -4,817.12
TOTAL                                    1,389,110.60  50,637.92
