Portfolio value change between 2026-09-22 and 2026-09-23

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.995   0.045     2.31%  153,181  305,596.10   6,893.15
AMP       2.620   0.080     3.15%   70,000  183,400.00   5,600.00
BHP      62.070   0.850     1.39%    8,000  496,560.00   6,800.00
CAN       0.004   0.000     0.00%   44,090      176.36       0.00
CBA     151.050  -1.280    -0.84%        0        0.00       0.00
CNB       0.945   0.020     2.16%   10,000    9,450.00     200.00
CSL     179.240  -1.480    -0.82%    4,000  716,960.00  -5,920.00
E25       0.235   0.000     0.00%   20,000    4,700.00       0.00
EF2      16.620   0.070     0.42%    3,045   50,607.90     213.15
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.095  -0.005    -5.00%    9,412      894.14     -47.06
VML       0.098   0.002     2.08%    6,000      588.00      12.00
WBC      34.760  -0.150    -0.43%        0        0.00       0.00
WDS      31.130  -0.540    -1.71%    1,288   40,095.44    -695.52
TOTAL                                     1,809,027.93  11,655.72
