Portfolio value change between 2026-02-09 and 2026-02-10

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.530   0.030    2.00%  153,181  234,366.93  4,595.43
AMP       1.715   0.040    2.39%   70,000  120,050.00  2,800.00
ASM       1.690   0.135    8.68%   57,458   97,104.02  7,756.83
BHP      50.260   0.530    1.07%   16,361  822,303.86  8,671.33
CAN       0.008  -0.001  -11.11%   44,090      352.72    -44.09
CBA     158.740  -1.150   -0.72%        0        0.00      0.00
CNB       0.490   0.020    4.26%   10,000    4,900.00    200.00
E25       0.365   0.020    5.80%   20,000    7,300.00    400.00
ERA       0.003   0.000    0.00%  700,000    2,100.00      0.00
PTR       0.250  -0.005   -1.96%    9,412    2,353.00    -47.06
VML       0.175   0.000    0.00%    6,000    1,050.00      0.00
WBC      39.280  -0.730   -1.82%        0        0.00      0.00
WDS      25.930   0.090    0.35%    1,288   33,397.84    115.92
TOTAL                                    1,325,278.37 24,448.36
