Portfolio value change between 2026-07-13 and 2026-07-14

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.405   0.020   1.44%  153,181  215,219.30   3,063.62
AMP       1.695   0.010   0.59%   70,000  118,650.00     700.00
ASM       1.105  -0.030  -2.64%   57,458   63,491.09  -1,723.74
BHP      58.710   0.370   0.63%    9,000  528,390.00   3,330.00
CAN       0.004   0.000   0.00%   44,090      176.36       0.00
CBA     169.300  -0.700  -0.41%        0        0.00       0.00
CNB       0.530  -0.005  -0.93%   10,000    5,300.00     -50.00
CSL     122.960   1.620   1.34%    3,000  368,880.00   4,860.00
E25       0.235   0.005   2.17%   20,000    4,700.00     100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00       0.00
PTR       0.088  -0.002  -2.22%    9,412      828.26     -18.82
VML       0.105   0.000   0.00%    6,000      630.00       0.00
WBC      36.640  -0.260  -0.70%        0        0.00       0.00
WDS      30.200   0.880   3.00%    1,288   38,897.60   1,133.44
TOTAL                                   1,346,562.61  11,394.50
