Portfolio value change between 2026-03-11 and 2026-03-12

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.595  -0.005  -0.31%  153,181  244,323.70     -765.91
AMP       1.160  -0.020  -1.69%   70,000   81,200.00   -1,400.00
ASM       1.495  -0.030  -1.97%   57,458   85,899.71   -1,723.74
BHP      50.980  -0.980  -1.89%   16,361  834,083.78  -16,033.78
CAN       0.007   0.000   0.00%   44,090      308.63        0.00
CBA     171.600  -1.070  -0.62%        0        0.00        0.00
CNB       0.440  -0.030  -6.38%   10,000    4,400.00     -300.00
E25       0.325  -0.010  -2.99%   20,000    6,500.00     -200.00
ERA       0.003   0.000   0.00%  700,000    2,100.00        0.00
PTR       0.185   0.000   0.00%    9,412    1,741.22        0.00
VML       0.165   0.000   0.00%    6,000      990.00        0.00
WBC      40.540  -0.490  -1.19%        0        0.00        0.00
WDS      31.050   0.630   2.07%    1,288   39,992.40      811.44
TOTAL                                   1,301,539.43  -19,611.99
