Portfolio value change between 2026-02-06 and 2026-02-09

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.500   0.090    6.38%  153,181  229,771.50  13,786.29
AMP       1.675   0.025    1.52%   70,000  117,250.00   1,750.00
ASM       1.555   0.105    7.24%   57,458   89,347.19   6,033.09
BHP      49.730   0.940    1.93%   16,361  813,632.53  15,379.34
CAN       0.009   0.001   12.50%   44,090      396.81      44.09
CBA     159.890   0.980    0.62%        0        0.00       0.00
CNB       0.470   0.030    6.82%   10,000    4,700.00     300.00
E25       0.345   0.030    9.52%   20,000    6,900.00     600.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00    -700.00
PTR       0.255   0.005    2.00%    9,412    2,400.06      47.06
VML       0.175   0.010    6.06%    6,000    1,050.00      60.00
WBC      40.010   0.580    1.47%        0        0.00       0.00
WDS      25.840   0.360    1.41%    1,288   33,281.92     463.68
TOTAL                                    1,300,830.01  37,763.55
