Portfolio value change between 2026-01-12 and 2026-01-13

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.525  -0.005   -0.33%  153,181  233,601.02    -765.91
AMP       1.800  -0.045   -2.44%   70,000  126,000.00  -3,150.00
ASM       0.740  -0.040   -5.13%   57,458   42,518.92  -2,298.32
BHP      47.580   1.070    2.30%   16,361  778,456.38  17,506.27
CAN       0.009   0.000    0.00%   44,090      396.81       0.00
CBA     154.820   0.740    0.48%        0        0.00       0.00
CNB       0.540   0.015    2.86%   10,000    5,400.00     150.00
E25       0.400   0.020    5.26%   20,000    8,000.00     400.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00    -700.00
PTR       0.280  -0.005   -1.75%    9,412    2,635.36     -47.06
VML       0.200   0.005    2.56%    6,000    1,200.00      30.00
WBC      38.500   0.420    1.10%        0        0.00       0.00
WDS      23.310  -0.410   -1.73%    1,288   30,023.28    -528.08
TOTAL                                    1,229,631.78  10,596.90
