Portfolio value change between 2026-08-07 and 2026-08-10

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.555   0.020     1.30%  153,181  238,196.45   3,063.62
AMP       2.360  -0.060    -2.48%   70,000  165,200.00  -4,200.00
ASM       1.195   0.085     7.66%   57,458   68,662.31   4,883.93
BHP      63.830   0.860     1.37%   11,065  706,278.95   9,515.90
CAN       0.003   0.000     0.00%   44,090      132.27       0.00
CBA     176.610  -1.400    -0.79%        0        0.00       0.00
CNB       0.900   0.030     3.45%   10,000    9,000.00     300.00
CSL     132.930   0.740     0.56%    4,000  531,720.00   2,960.00
E25       0.280   0.000     0.00%   20,000    5,600.00       0.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.000  -0.092  -100.00%    9,412        0.00    -865.90
VML       0.096  -0.004    -4.00%    6,000      576.00     -24.00
WBC      36.565  -1.365    -3.60%        0        0.00       0.00
WDS      31.940   0.060     0.19%    1,288   41,138.72      77.28
TOTAL                                     1,766,504.70  14,310.83
