Portfolio value change between 2026-04-13 and 2026-04-14

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.825   0.040   2.24%  153,181  279,555.33   6,127.24
AMP       1.390   0.000   0.00%   70,000   97,300.00       0.00
ASM       1.480   0.035   2.42%   57,458   85,037.84   2,011.03
BHP      56.100   1.750   3.22%   16,361  917,852.10  28,631.75
CAN       0.005   0.000   0.00%   44,090      220.45       0.00
CBA     183.520   0.320   0.17%        0        0.00       0.00
CNB       0.435   0.005   1.16%   10,000    4,350.00      50.00
E25       0.330   0.020   6.45%   20,000    6,600.00     400.00
ERA       0.004   0.000   0.00%  700,000    2,800.00       0.00
PTR       0.100  -0.010  -9.09%    9,412      941.20     -94.12
VML       0.135   0.000   0.00%    6,000      810.00       0.00
WBC      41.480  -1.110  -2.61%        0        0.00       0.00
WDS      33.960  -0.190  -0.56%    1,288   43,740.48    -244.72
TOTAL                                   1,439,207.40  36,881.18
