Portfolio value change between 2025-11-17 and 2025-11-18

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       0.940  -0.085  -8.29%  153,181  143,990.14  -13,020.38
AMP       1.635  -0.025  -1.51%   70,000  114,450.00   -1,750.00
ASM       0.625  -0.035  -5.30%   57,458   35,911.25   -2,011.03
BHP      40.900  -1.580  -3.72%   16,361  669,164.90  -25,850.38
CAN       0.011   0.000   0.00%   44,090      484.99        0.00
CBA     153.220  -2.570  -1.65%        0        0.00        0.00
CNB       0.380  -0.015  -3.80%   10,000    3,800.00     -150.00
E25       0.320  -0.015  -4.48%   20,000    6,400.00     -300.00
ERA       0.003   0.001  50.00%  700,000    2,100.00      700.00
PTR       0.290   0.005   1.75%    9,412    2,729.48       47.06
VML       0.220  -0.015  -6.38%    6,000    1,320.00      -90.00
WBC      37.870  -1.160  -2.97%        0        0.00        0.00
WDS      25.960  -0.510  -1.93%    1,288   33,436.48     -656.88
TOTAL                                   1,013,787.24  -43,081.61
