Portfolio value change between 2026-07-21 and 2026-07-22

Ticker    Close     +/-         %    Units       Value    Day Gain
ALK       1.355   0.040     3.04%  153,181  207,560.26    6,127.24
AMP       2.130   0.020     0.95%   70,000  149,100.00    1,400.00
ASM       1.085   0.085     8.50%   57,458   62,341.93    4,883.93
BHP      59.760   1.470     2.52%   11,065  661,244.40   16,265.55
CAN       0.004   0.000     0.00%   44,090      176.36        0.00
CBA     171.690   1.200     0.70%        0        0.00        0.00
CNB       0.505   0.010     2.02%   10,000    5,050.00      100.00
CSL     117.940  -3.440    -2.83%    3,450  406,893.00  -11,868.00
E25       0.240   0.015     6.67%   20,000    4,800.00      300.00
ERA       0.000  -0.002  -100.00%  700,000        0.00   -1,400.00
PTR       0.079   0.000     0.00%    9,412      743.55        0.00
VML       0.100   0.000     0.00%    6,000      600.00        0.00
WBC      36.340   0.120     0.33%        0        0.00        0.00
WDS      31.650   0.400     1.28%    1,288   40,765.20      515.20
TOTAL                                     1,539,274.69   16,323.92
