Portfolio value change between 2025-12-04 and 2025-12-05

Ticker    Close     +/-       %    Units       Value  Day Gain
ALK       1.055   0.010   0.96%  153,181  161,605.95  1,531.81
AMP       1.780   0.030   1.71%   70,000  124,600.00  2,100.00
ASM       0.645   0.020   3.20%   57,458   37,060.41  1,149.16
BHP      44.840   0.340   0.76%   16,361  733,627.24  5,562.74
CAN       0.009   0.000   0.00%   44,090      396.81      0.00
CBA     154.210   0.990   0.65%        0        0.00      0.00
CNB       0.415   0.005   1.22%   10,000    4,150.00     50.00
E25       0.338   0.013   4.00%   20,000    6,760.00    260.00
ERA       0.003   0.001  50.00%  700,000    2,100.00    700.00
PTR       0.260   0.005   1.96%    9,412    2,447.12     47.06
VML       0.200   0.000   0.00%    6,000    1,200.00      0.00
WBC      38.090   0.430   1.14%        0        0.00      0.00
WDS      25.150  -0.400  -1.57%    1,288   32,393.20   -515.20
TOTAL                                   1,106,340.74 10,885.57
