Portfolio value change between 2026-09-03 and 2026-09-04

Ticker    Close     +/-         %    Units       Value    Day Gain
ALK       1.910  -0.010    -0.52%  153,181  292,575.71   -1,531.81
AMP       2.480   0.050     2.06%   70,000  173,600.00    3,500.00
ASM       0.000  -1.170  -100.00%   57,458        0.00  -67,225.86
BHP      62.250  -1.530    -2.40%    8,000  498,000.00  -12,240.00
CAN       0.005   0.000     0.00%   44,090      220.45        0.00
CBA     160.420  -0.160    -0.10%        0        0.00        0.00
CNB       0.980  -0.005    -0.51%   10,000    9,800.00      -50.00
CSL     174.500  -1.000    -0.57%    4,000  698,000.00   -4,000.00
E25       0.265  -0.005    -1.85%   20,000    5,300.00     -100.00
ERA       0.002   0.000     0.00%  700,000    1,400.00        0.00
PTR       0.115  -0.005    -4.17%    9,412    1,082.38      -47.06
VML       0.095   0.000     0.00%    6,000      570.00        0.00
WBC      34.960   0.050     0.14%        0        0.00        0.00
WDS      31.830  -0.390    -1.21%    1,288   40,997.04     -502.32
TOTAL                                     1,721,545.58  -82,197.05
