Portfolio value change between 2026-09-02 and 2026-09-03

Ticker    Close     +/-         %    Units       Value    Day Gain
ALK       1.915   0.020     1.06%  153,181  293,341.61    3,063.62
AMP       2.430  -0.040    -1.62%   70,000  170,100.00   -2,800.00
ASM       0.000  -1.170  -100.00%   57,458        0.00  -67,225.86
BHP      63.800  -0.850    -1.31%    9,000  574,200.00   -7,650.00
CAN       0.005   0.001    25.00%   44,090      220.45       44.09
CBA     161.060   1.740     1.09%        0        0.00        0.00
CNB       0.975   0.015     1.56%   10,000    9,750.00      150.00
CSL     174.940   1.090     0.63%    4,000  699,760.00    4,360.00
E25       0.270   0.005     1.89%   20,000    5,400.00      100.00
ERA       0.000  -0.002  -100.00%  700,000        0.00   -1,400.00
PTR       0.117  -0.003    -2.50%    9,412    1,101.20      -28.24
VML       0.100   0.001     1.01%    6,000      600.00        6.00
WBC      35.015   0.625     1.82%        0        0.00        0.00
WDS      32.010  -1.070    -3.23%    1,288   41,228.88   -1,378.16
TOTAL                                     1,795,702.15  -72,758.55
