Portfolio value change between 2026-03-09 and 2026-03-10

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.560   0.025    1.63%  153,181  238,962.36   3,829.53
AMP       1.200   0.000    0.00%   70,000   84,000.00       0.00
ASM       1.480   0.015    1.02%   57,458   85,037.84     861.87
BHP      51.230   1.130    2.26%   16,361  838,174.03  18,487.93
CAN       0.007   0.001   16.67%   44,090      308.63      44.09
CBA     171.800   2.350    1.39%        0        0.00       0.00
CNB       0.415  -0.005   -1.19%   10,000    4,150.00     -50.00
E25       0.360   0.020    5.88%   20,000    7,200.00     400.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00    -700.00
PTR       0.185   0.000    0.00%    9,412    1,741.22       0.00
VML       0.170  -0.005   -2.86%    6,000    1,020.00     -30.00
WBC      40.840   0.740    1.85%        0        0.00       0.00
WDS      30.180  -1.180   -3.76%    1,288   38,871.84  -1,519.84
TOTAL                                    1,301,565.92  21,323.57
