Portfolio value change between 2026-01-28 and 2026-01-29

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.670   0.050    3.09%  153,181  255,812.27   7,659.05
AMP       1.645  -0.080   -4.64%   70,000  115,150.00  -5,600.00
ASM       1.855   0.100    5.70%   57,458  106,584.59   5,745.80
BHP      51.510   0.910    1.80%   16,361  842,755.11  14,888.51
CAN       0.009  -0.001  -10.00%   44,090      396.81     -44.09
CBA     148.660  -1.700   -1.13%        0        0.00       0.00
CNB       0.530   0.000    0.00%   10,000    5,300.00       0.00
E25       0.390   0.005    1.30%   20,000    7,800.00     100.00
ERA       0.003   0.000    0.00%  700,000    2,100.00       0.00
PTR       0.270  -0.012   -4.26%    9,412    2,541.24    -112.94
VML       0.170  -0.010   -5.56%    6,000    1,020.00     -60.00
WBC      38.500  -0.370   -0.95%        0        0.00       0.00
WDS      25.160   0.180    0.72%    1,288   32,406.08     231.84
TOTAL                                    1,371,866.10  22,808.17
