Portfolio value change between 2026-06-16 and 2026-06-17

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.675   0.100   6.35%  153,181  256,578.18  15,318.10
AMP       1.610   0.020   1.26%   70,000  112,700.00   1,400.00
ASM       1.295   0.000   0.00%   57,458   74,408.11       0.00
BHP      65.590   0.400   0.61%    9,000  590,310.00   3,600.00
CAN       0.004   0.000   0.00%   44,090      176.36       0.00
CBA     163.710   1.830   1.13%        0        0.00       0.00
CNB       0.710   0.020   2.90%   10,000    7,100.00     200.00
CSL     106.790   0.540   0.51%    3,000  320,370.00   1,620.00
E25       0.230  -0.020  -8.00%   20,000    4,600.00    -400.00
ERA       0.002   0.000   0.00%  700,000    1,400.00       0.00
PTR       0.110   0.010  10.00%    9,412    1,035.32      94.12
VML       0.110   0.000   0.00%    6,000      660.00       0.00
WBC      35.560  -0.190  -0.53%        0        0.00       0.00
WDS      28.960  -1.080  -3.60%    1,288   37,300.48  -1,391.04
TOTAL                                   1,406,638.45  20,441.18
