Portfolio value change between 2026-01-21 and 2026-01-22

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.560  -0.080  -4.88%  153,181  238,962.36  -12,254.48
AMP       1.725   0.000   0.00%   70,000  120,750.00        0.00
ASM       1.650   0.060   3.77%   57,458   94,805.70    3,447.48
BHP      48.080  -0.400  -0.83%   16,361  786,636.88   -6,544.40
CAN       0.009   0.000   0.00%   44,090      396.81        0.00
CBA     150.610   3.390   2.30%        0        0.00        0.00
CNB       0.515  -0.040  -7.21%   10,000    5,150.00     -400.00
E25       0.380  -0.015  -3.80%   20,000    7,600.00     -300.00
ERA       0.003   0.000   0.00%  700,000    2,100.00        0.00
PTR       0.290   0.015   5.45%    9,412    2,729.48      141.18
VML       0.190  -0.005  -2.56%    6,000    1,140.00      -30.00
WBC      38.910   0.800   2.10%        0        0.00        0.00
WDS      24.200   0.680   2.89%    1,288   31,169.60      875.84
TOTAL                                   1,291,440.83  -15,064.38
