Portfolio value change between 2026-03-17 and 2026-03-18

Ticker    Close     +/-       %    Units       Value  Day Gain
ALK       1.615   0.030   1.89%  153,181  247,387.32  4,595.43
AMP       1.250   0.030   2.46%   70,000   87,500.00  2,100.00
ASM       1.490   0.025   1.71%   57,458   85,612.42  1,436.45
BHP      50.090   0.360   0.72%   16,361  819,522.49  5,889.96
CAN       0.007   0.000   0.00%   44,090      308.63      0.00
CBA     177.090   0.970   0.55%        0        0.00      0.00
CNB       0.455   0.000   0.00%   10,000    4,550.00      0.00
E25       0.335   0.000   0.00%   20,000    6,700.00      0.00
ERA       0.004   0.000   0.00%  700,000    2,800.00      0.00
PTR       0.125  -0.005  -3.85%    9,412    1,176.50    -47.06
VML       0.155   0.015  10.71%    6,000      930.00     90.00
WBC      41.530   0.040   0.10%        0        0.00      0.00
WDS      31.440   0.020   0.06%    1,288   40,494.72     25.76
TOTAL                                   1,296,982.07 14,090.54
