Portfolio value change between 2026-09-07 and 2026-09-08

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.900  -0.010    -0.52%  153,181  291,043.90  -1,531.81
AMP       2.455   0.015     0.61%   70,000  171,850.00   1,050.00
ASM       0.000   0.000     0.00%   57,458        0.00       0.00
BHP      62.550  -0.380    -0.60%    8,000  500,400.00  -3,040.00
CAN       0.005   0.000     0.00%   44,090      220.45       0.00
CBA     159.090  -2.450    -1.52%        0        0.00       0.00
CNB       0.975   0.000     0.00%   10,000    9,750.00       0.00
CSL     172.010  -1.170    -0.68%    4,000  688,040.00  -4,680.00
E25       0.285   0.010     3.64%   20,000    5,700.00     200.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.115   0.000     0.00%    9,412    1,082.38       0.00
VML       0.096   0.000     0.00%    6,000      576.00       0.00
WBC      34.700  -0.320    -0.91%        0        0.00       0.00
WDS      32.250  -0.080    -0.25%    1,288   41,538.00    -103.04
TOTAL                                     1,710,200.73  -9,504.85
