Portfolio value change between 2026-01-09 and 2026-01-12

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.530   0.005    0.33%  153,181  234,366.93      765.91
AMP       1.845   0.065    3.65%   70,000  129,150.00    4,550.00
ASM       0.780   0.030    4.00%   57,458   44,817.24    1,723.74
BHP      46.510  -1.210   -2.54%   16,361  760,950.11  -19,796.81
CAN       0.009  -0.002  -18.18%   44,090      396.81      -88.18
CBA     154.080   0.860    0.56%        0        0.00        0.00
CNB       0.525  -0.015   -2.78%   10,000    5,250.00     -150.00
E25       0.380  -0.020   -5.00%   20,000    7,600.00     -400.00
ERA       0.003   0.000    0.00%  700,000    2,100.00        0.00
PTR       0.285   0.005    1.79%    9,412    2,682.42       47.06
VML       0.195   0.005    2.63%    6,000    1,170.00       30.00
WBC      38.080   0.180    0.47%        0        0.00        0.00
WDS      23.720   0.130    0.55%    1,288   30,551.36      167.44
TOTAL                                    1,219,034.87  -13,150.84
