Portfolio value change between 2026-05-21 and 2026-05-22

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.460  -0.025   -1.68%  153,181  223,644.26  -3,829.53
AMP       1.600   0.005    0.31%   70,000  112,000.00     350.00
ASM       1.460   0.100    7.35%   57,458   83,888.68   5,745.80
BHP      59.750   0.650    1.10%   13,000  776,750.00   8,450.00
CAN       0.005   0.000    0.00%   44,090      220.45       0.00
CBA     165.670   1.540    0.94%        0        0.00       0.00
CNB       0.550   0.000    0.00%   10,000    5,500.00       0.00
CSL      99.760  -0.290   -0.29%    2,000  199,520.00    -580.00
E25       0.275   0.005    1.85%   20,000    5,500.00     100.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00    -700.00
PTR       0.105   0.000    0.00%    9,412      988.26       0.00
VML       0.140   0.000    0.00%    6,000      840.00       0.00
WBC      36.550   0.270    0.74%        0        0.00       0.00
WDS      32.100   0.270    0.85%    1,288   41,344.80     347.76
TOTAL                                    1,451,596.45   9,884.03
