Portfolio value change between 2025-12-01 and 2025-12-02

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.065   0.035    3.40%  153,181  163,137.76  5,361.33
AMP       1.715   0.005    0.29%   70,000  120,050.00    350.00
ASM       0.630  -0.015   -2.33%   57,458   36,198.54   -861.87
BHP      42.560   0.480    1.14%   16,361  696,324.16  7,853.28
CAN       0.009  -0.002  -18.18%   44,090      396.81    -88.18
CBA     152.240   0.600    0.40%        0        0.00      0.00
CNB       0.370   0.000    0.00%   10,000    3,700.00      0.00
E25       0.310   0.005    1.64%   20,000    6,200.00    100.00
ERA       0.003   0.001   50.00%  700,000    2,100.00    700.00
PTR       0.255  -0.010   -3.77%    9,412    2,400.06    -94.12
VML       0.200  -0.025  -11.11%    6,000    1,200.00   -150.00
WBC      37.120  -0.140   -0.38%        0        0.00      0.00
WDS      25.400   0.240    0.95%    1,288   32,715.20    309.12
TOTAL                                    1,064,422.54 13,479.57
