Portfolio value change between 2026-03-26 and 2026-03-27

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.390  -0.045   -3.14%  153,181  212,921.59  -6,893.15
AMP       1.250  -0.020   -1.57%   70,000   87,500.00  -1,400.00
ASM       1.400  -0.065   -4.44%   57,458   80,441.20  -3,734.77
BHP      50.370   0.140    0.28%   16,361  824,103.57   2,290.54
CAN       0.005  -0.001  -16.67%   44,090      220.45     -44.09
CBA     173.630   0.450    0.26%        0        0.00       0.00
CNB       0.410   0.010    2.50%   10,000    4,100.00     100.00
E25       0.350   0.015    4.48%   20,000    7,000.00     300.00
ERA       0.003   0.000    0.00%  700,000    2,100.00       0.00
PTR       0.094  -0.006   -6.00%    9,412      884.73     -56.47
VML       0.140  -0.005   -3.45%    6,000      840.00     -30.00
WBC      40.740   0.280    0.69%        0        0.00       0.00
WDS      34.470   0.090    0.26%    1,288   44,397.36     115.92
TOTAL                                    1,264,508.90  -9,352.02
