Portfolio value change between 2026-05-14 and 2026-05-15

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.515  -0.060  -3.81%  153,181  232,069.21   -9,190.86
AMP       1.565   0.020   1.29%   70,000  109,550.00    1,400.00
ASM       1.525  -0.060  -3.79%   57,458   87,623.45   -3,447.48
BHP      60.460  -1.600  -2.58%   16,361  989,186.06  -26,177.60
CAN       0.005   0.000   0.00%   44,090      220.45        0.00
CBA     159.400   2.980   1.91%        0        0.00        0.00
CNB       0.590  -0.030  -4.84%   10,000    5,900.00     -300.00
E25       0.295   0.000   0.00%   20,000    5,900.00        0.00
ERA       0.003   0.000   0.00%  700,000    2,100.00        0.00
PTR       0.125   0.000   0.00%    9,412    1,176.50        0.00
VML       0.135   0.005   3.85%    6,000      810.00       30.00
WBC      35.840   0.120   0.34%        0        0.00        0.00
WDS      31.250   0.630   2.06%    1,288   40,250.00      811.44
TOTAL                                   1,474,785.68  -36,874.50
