Portfolio value change between 2026-01-29 and 2026-01-30

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.635  -0.035   -2.10%  153,181  250,450.93   -5,361.33
AMP       1.695   0.050    3.04%   70,000  118,650.00    3,500.00
ASM       1.715  -0.140   -7.55%   57,458   98,540.47   -8,044.12
BHP      50.570  -0.940   -1.82%   16,361  827,375.77  -15,379.34
CAN       0.008  -0.001  -11.11%   44,090      352.72      -44.09
CBA     149.360   0.700    0.47%        0        0.00        0.00
CNB       0.485  -0.045   -8.49%   10,000    4,850.00     -450.00
E25       0.350  -0.040  -10.26%   20,000    7,000.00     -800.00
ERA       0.004   0.001   33.33%  700,000    2,800.00      700.00
PTR       0.255  -0.015   -5.56%    9,412    2,400.06     -141.18
VML       0.170   0.000    0.00%    6,000    1,020.00        0.00
WBC      38.820   0.320    0.83%        0        0.00        0.00
WDS      25.370   0.210    0.83%    1,288   32,676.56      270.48
TOTAL                                    1,346,116.52  -25,749.58
