Portfolio value change between 2026-03-16 and 2026-03-17

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.585   0.050    3.26%  153,181  242,791.88  7,659.05
AMP       1.220   0.000    0.00%   70,000   85,400.00      0.00
ASM       1.465   0.010    0.69%   57,458   84,175.97    574.58
BHP      49.730   0.540    1.10%   16,361  813,632.53  8,834.94
CAN       0.007   0.000    0.00%   44,090      308.63      0.00
CBA     176.120   0.590    0.34%        0        0.00      0.00
CNB       0.455  -0.010   -2.15%   10,000    4,550.00   -100.00
E25       0.335   0.005    1.52%   20,000    6,700.00    100.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00   -700.00
PTR       0.130  -0.030  -18.75%    9,412    1,223.56   -282.36
VML       0.140  -0.005   -3.45%    6,000      840.00    -30.00
WBC      41.490   0.570    1.39%        0        0.00      0.00
WDS      31.420  -0.210   -0.66%    1,288   40,468.96   -270.48
TOTAL                                    1,282,191.53 15,785.73
