Portfolio value change between 2026-09-14 and 2026-09-15

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.830  -0.050  -2.66%  153,181  280,321.23   -7,659.05
AMP       2.500   0.010   0.40%   70,000  175,000.00      700.00
ASM       0.000   0.000   0.00%   57,458        0.00        0.00
BHP      59.250  -1.340  -2.21%    8,000  474,000.00  -10,720.00
CAN       0.005   0.000   0.00%   44,090      220.45        0.00
CBA     152.500  -2.470  -1.59%        0        0.00        0.00
CNB       0.865  -0.010  -1.14%   10,000    8,650.00     -100.00
CSL     174.260   2.690   1.57%    4,000  697,040.00   10,760.00
E25       0.265  -0.005  -1.85%   20,000    5,300.00     -100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00        0.00
PTR       0.100  -0.002  -1.96%    9,412      941.20      -18.82
VML       0.081  -0.004  -4.71%    6,000      486.00      -24.00
WBC      34.350  -0.180  -0.52%        0        0.00        0.00
WDS      32.350  -0.730  -2.21%    1,288   41,666.80     -940.24
TOTAL                                   1,685,025.68   -8,102.11
