Portfolio value change between 2026-01-02 and 2026-01-05

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.360  -0.020  -1.45%  153,181  208,326.16  -3,063.62
AMP       1.830   0.000   0.00%   70,000  128,100.00       0.00
ASM       0.705   0.000   0.00%   57,458   40,507.89       0.00
BHP      46.480   0.720   1.57%   16,361  760,459.28  11,779.92
CAN       0.010   0.001  11.11%   44,090      440.90      44.09
CBA     160.580  -0.540  -0.34%        0        0.00       0.00
CNB       0.485  -0.005  -1.02%   10,000    4,850.00     -50.00
E25       0.340   0.010   3.03%   20,000    6,800.00     200.00
ERA       0.003   0.000   0.00%  700,000    2,100.00       0.00
PTR       0.285  -0.015  -5.00%    9,412    2,682.42    -141.18
VML       0.180   0.010   5.88%    6,000    1,080.00      60.00
WBC      39.050   0.100   0.26%        0        0.00       0.00
WDS      23.330  -0.330  -1.39%    1,288   30,049.04    -425.04
TOTAL                                   1,185,395.69   8,404.17
