Portfolio value change between 2026-01-07 and 2026-01-08

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.370   0.000    0.00%  153,181  209,857.97       0.00
AMP       1.815   0.005    0.28%   70,000  127,050.00     350.00
ASM       0.755  -0.020   -2.58%   57,458   43,380.79  -1,149.16
BHP      47.340  -0.360   -0.75%   16,361  774,529.74  -5,889.96
CAN       0.009  -0.001  -10.00%   44,090      396.81     -44.09
CBA     153.340   0.110    0.07%        0        0.00       0.00
CNB       0.540  -0.010   -1.82%   10,000    5,400.00    -100.00
E25       0.385   0.015    4.05%   20,000    7,700.00     300.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00    -700.00
PTR       0.290   0.005    1.75%    9,412    2,729.48      47.06
VML       0.190   0.000    0.00%    6,000    1,140.00       0.00
WBC      38.010   0.490    1.31%        0        0.00       0.00
WDS      22.950   0.090    0.39%    1,288   29,559.60     115.92
TOTAL                                    1,203,144.39  -7,070.23
