Portfolio value change between 2025-12-10 and 2025-12-11

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.060  -0.015   -1.40%  153,181  162,371.86  -2,297.71
AMP       1.820   0.020    1.11%   70,000  127,400.00   1,400.00
ASM       0.570  -0.010   -1.72%   57,458   32,751.06    -574.58
BHP      45.100   0.560    1.26%   16,361  737,881.10   9,162.16
CAN       0.009   0.001   12.50%   44,090      396.81      44.09
CBA     152.740  -1.080   -0.70%        0        0.00       0.00
CNB       0.380  -0.005   -1.30%   10,000    3,800.00     -50.00
E25       0.290  -0.015   -4.92%   20,000    5,800.00    -300.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00    -700.00
PTR       0.270   0.015    5.88%    9,412    2,541.24     141.18
VML       0.180   0.000    0.00%    6,000    1,080.00       0.00
WBC      38.260   0.500    1.32%        0        0.00       0.00
WDS      24.750   0.060    0.24%    1,288   31,878.00      77.28
TOTAL                                    1,107,300.07   6,902.42
