Portfolio value change between 2026-02-26 and 2026-02-27

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.750   0.030   1.74%  153,181  268,066.75   4,595.43
AMP       1.300  -0.020  -1.52%   70,000   91,000.00  -1,400.00
ASM       1.670   0.015   0.91%   57,458   95,954.86     861.87
BHP      58.410   0.660   1.14%   16,361  955,646.01  10,798.26
CAN       0.008   0.000   0.00%   44,090      352.72       0.00
CBA     174.620  -2.650  -1.49%        0        0.00       0.00
CNB       0.470   0.010   2.17%   10,000    4,700.00     100.00
E25       0.340  -0.020  -5.56%   20,000    6,800.00    -400.00
ERA       0.003   0.000   0.00%  700,000    2,100.00       0.00
PTR       0.210  -0.010  -4.55%    9,412    1,976.52     -94.12
VML       0.175  -0.005  -2.78%    6,000    1,050.00     -30.00
WBC      42.540  -0.180  -0.42%        0        0.00       0.00
WDS      28.310   0.370   1.32%    1,288   36,463.28     476.56
TOTAL                                   1,464,110.14  14,908.00
