Portfolio value change between 2026-08-18 and 2026-08-19

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.595   0.010     0.63%  153,181  244,323.70   1,531.81
AMP       2.380   0.030     1.28%   70,000  166,600.00   2,100.00
ASM       1.170  -0.045    -3.70%   57,458   67,225.86  -2,585.61
BHP      63.710  -0.140    -0.22%   11,065  704,951.15  -1,549.10
CAN       0.003  -0.001   -25.00%   44,090      132.27     -44.09
CBA     160.710  -1.920    -1.18%        0        0.00       0.00
CNB       0.870  -0.005    -0.57%   10,000    8,700.00     -50.00
CSL     166.480   8.660     5.49%    4,000  665,920.00  34,640.00
E25       0.265   0.000     0.00%   20,000    5,300.00       0.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.120  -0.005    -4.00%    9,412    1,129.44     -47.06
VML       0.105  -0.005    -4.55%    6,000      630.00     -30.00
WBC      34.440  -0.220    -0.63%        0        0.00       0.00
WDS      33.550   0.390     1.18%    1,288   43,212.40     502.32
TOTAL                                     1,908,124.81  33,068.27
