Portfolio value change between 2026-02-13 and 2026-02-16

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.755   0.180   11.43%  153,181  268,832.65   27,572.58
AMP       1.385  -0.010   -0.72%   70,000   96,950.00     -700.00
ASM       1.600   0.025    1.59%   57,458   91,932.80    1,436.45
BHP      50.360  -0.770   -1.51%   16,361  823,939.96  -12,597.97
CAN       0.007  -0.001  -12.50%   44,090      308.63      -44.09
CBA     178.280   2.080    1.18%        0        0.00        0.00
CNB       0.475  -0.005   -1.04%   10,000    4,750.00      -50.00
E25       0.330  -0.030   -8.33%   20,000    6,600.00     -600.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00     -700.00
PTR       0.240   0.005    2.13%    9,412    2,258.88       47.06
VML       0.175  -0.005   -2.78%    6,000    1,050.00      -30.00
WBC      40.610   0.090    0.22%        0        0.00        0.00
WDS      25.840   0.060    0.23%    1,288   33,281.92       77.28
TOTAL                                    1,332,004.84   14,411.31
