Portfolio value change between 2026-02-04 and 2026-02-05

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.505  -0.070   -4.44%  153,181  230,537.40  -10,722.67
AMP       1.690   0.015    0.90%   70,000  118,300.00    1,050.00
ASM       1.570  -0.185  -10.54%   57,458   90,209.06  -10,629.73
BHP      50.360  -2.040   -3.89%   16,361  823,939.96  -33,376.44
CAN       0.008   0.000    0.00%   44,090      352.72        0.00
CBA     159.280   2.220    1.41%        0        0.00        0.00
CNB       0.470  -0.040   -7.84%   10,000    4,700.00     -400.00
E25       0.335  -0.030   -8.22%   20,000    6,700.00     -600.00
ERA       0.003   0.000    0.00%  700,000    2,100.00        0.00
PTR       0.260  -0.015   -5.45%    9,412    2,447.12     -141.18
VML       0.180   0.005    2.86%    6,000    1,080.00       30.00
WBC      39.910   0.020    0.05%        0        0.00        0.00
WDS      25.900   0.060    0.23%    1,288   33,359.20       77.28
TOTAL                                    1,313,725.46  -54,712.74
