Portfolio value change between 2026-03-20 and 2026-03-23

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.325  -0.215  -13.96%  153,181  202,964.82  -32,933.92
AMP       1.260   0.030    2.44%   70,000   88,200.00    2,100.00
ASM       1.330  -0.075   -5.34%   57,458   76,419.14   -4,309.35
BHP      47.110  -0.360   -0.76%   16,361  770,766.71   -5,889.96
CAN       0.005  -0.001  -16.67%   44,090      220.45      -44.09
CBA     174.250  -1.390   -0.79%        0        0.00        0.00
CNB       0.340  -0.035   -9.33%   10,000    3,400.00     -350.00
E25       0.285  -0.020   -6.56%   20,000    5,700.00     -400.00
ERA       0.003   0.000    0.00%  700,000    2,100.00        0.00
PTR       0.098  -0.007   -6.67%    9,412      922.38      -65.88
VML       0.130  -0.005   -3.70%    6,000      780.00      -30.00
WBC      40.350  -0.350   -0.86%        0        0.00        0.00
WDS      34.790   0.750    2.20%    1,288   44,809.52      966.00
TOTAL                                    1,196,283.02  -40,957.20
