Portfolio value change between 2026-03-27 and 2026-03-30

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.390   0.000    0.00%  153,181  212,921.59      0.00
AMP       1.290   0.040    3.20%   70,000   90,300.00  2,800.00
ASM       1.420   0.020    1.43%   57,458   81,590.36  1,149.16
BHP      50.430   0.060    0.12%   16,361  825,085.23    981.66
CAN       0.005   0.000    0.00%   44,090      220.45      0.00
CBA     168.720  -4.910   -2.83%        0        0.00      0.00
CNB       0.400  -0.010   -2.44%   10,000    4,000.00   -100.00
E25       0.315  -0.035  -10.00%   20,000    6,300.00   -700.00
ERA       0.003   0.000    0.00%  700,000    2,100.00      0.00
PTR       0.087  -0.007   -7.45%    9,412      818.84    -65.88
VML       0.135  -0.005   -3.57%    6,000      810.00    -30.00
WBC      39.090  -1.650   -4.05%        0        0.00      0.00
WDS      35.220   0.750    2.18%    1,288   45,363.36    966.00
TOTAL                                    1,269,509.83  5,000.94
