Portfolio value change between 2025-12-16 and 2025-12-17

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.200   0.075   6.67%  153,181  183,817.20  11,488.57
AMP       1.815  -0.020  -1.09%   70,000  127,050.00  -1,400.00
ASM       0.590   0.030   5.36%   57,458   33,900.22   1,723.74
BHP      44.410   0.170   0.38%   16,361  726,592.01   2,781.37
CAN       0.010   0.002  25.00%   44,090      440.90      88.18
CBA     153.860  -1.270  -0.82%        0        0.00       0.00
CNB       0.410   0.005   1.23%   10,000    4,100.00      50.00
E25       0.285  -0.005  -1.72%   20,000    5,700.00    -100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00       0.00
PTR       0.260   0.010   4.00%    9,412    2,447.12      94.12
VML       0.190   0.010   5.56%    6,000    1,140.00      60.00
WBC      38.450  -0.030  -0.08%        0        0.00       0.00
WDS      23.420  -0.570  -2.38%    1,288   30,164.96    -734.16
TOTAL                                   1,116,752.41  14,051.82
