Portfolio value change between 2025-11-07 and 2025-11-10

Ticker    Close     +/-       %    Units       Value  Day Gain
ALK       1.065   0.055   5.45%  153,181  163,137.76  8,424.95
AMP       1.715   0.010   0.59%   70,000  120,050.00    700.00
ASM       0.730   0.065   9.77%   57,458   41,944.34  3,734.77
BHP      42.650   0.000   0.00%   16,361  697,796.65      0.00
CAN       0.011   0.000   0.00%   44,090      484.99      0.00
CBA     174.920  -0.990  -0.56%        0        0.00      0.00
CNB       0.370   0.010   2.78%   10,000    3,700.00    100.00
E25       0.330   0.040  13.79%   20,000    6,600.00    800.00
ERA       0.003   0.000   0.00%  700,000    2,100.00      0.00
PTR       0.290   0.015   5.45%    9,412    2,729.48    141.18
VML       0.250   0.015   6.38%    6,000    1,500.00     90.00
WBC      39.520   0.540   1.39%        0        0.00      0.00
WDS      26.140   0.300   1.16%    1,288   33,668.32    386.40
TOTAL                                   1,073,711.54 14,377.30
