Portfolio value change between 2026-09-11 and 2026-09-14

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.880   0.020     1.08%  153,181  287,980.28   3,063.62
AMP       2.490   0.030     1.22%   70,000  174,300.00   2,100.00
ASM       0.000   0.000     0.00%   57,458        0.00       0.00
BHP      60.590  -0.280    -0.46%    8,000  484,720.00  -2,240.00
CAN       0.005   0.000     0.00%   44,090      220.45       0.00
CBA     154.970   0.780     0.51%        0        0.00       0.00
CNB       0.875  -0.070    -7.41%   10,000    8,750.00    -700.00
CSL     171.570   4.470     2.68%    4,000  686,280.00  17,880.00
E25       0.270  -0.005    -1.82%   20,000    5,400.00    -100.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.102   0.002     2.00%    9,412      960.02      18.82
VML       0.085  -0.002    -2.30%    6,000      510.00     -12.00
WBC      34.530   0.310     0.91%        0        0.00       0.00
WDS      33.080   0.220     0.67%    1,288   42,607.04     283.36
TOTAL                                     1,691,727.79  18,893.80
