Portfolio value change between 2026-02-23 and 2026-02-24

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.685  -0.010   -0.59%  153,181  258,109.99  -1,531.81
AMP       1.250  -0.070   -5.30%   70,000   87,500.00  -4,900.00
ASM       1.620   0.065    4.18%   57,458   93,081.96   3,734.77
BHP      54.750   0.730    1.35%   16,361  895,764.75  11,943.53
CAN       0.006  -0.002  -25.00%   44,090      264.54     -88.18
CBA     178.500  -0.030   -0.02%        0        0.00       0.00
CNB       0.475  -0.020   -4.04%   10,000    4,750.00    -200.00
E25       0.350   0.020    6.06%   20,000    7,000.00     400.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00    -700.00
PTR       0.220   0.005    2.33%    9,412    2,070.64      47.06
VML       0.170  -0.010   -5.56%    6,000    1,020.00     -60.00
WBC      42.650   0.610    1.45%        0        0.00       0.00
WDS      27.750   0.650    2.40%    1,288   35,742.00     837.20
TOTAL                                    1,387,403.88   9,482.57
