Portfolio value change between 2025-11-21 and 2025-11-24

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       0.935   0.035    3.89%  153,181  143,224.24  5,361.34
AMP       1.645   0.010    0.61%   70,000  115,150.00    700.00
ASM       0.615   0.005    0.82%   57,458   35,336.67    287.29
BHP      40.620   0.250    0.62%   16,361  664,583.82  4,090.25
CAN       0.011   0.000    0.00%   44,090      484.99      0.00
CBA     154.960   1.900    1.24%        0        0.00      0.00
CNB       0.365   0.010    2.82%   10,000    3,650.00    100.00
E25       0.275  -0.005   -1.79%   20,000    5,500.00   -100.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00   -700.00
PTR       0.280   0.005    1.82%    9,412    2,635.36     47.06
VML       0.230   0.005    2.22%    6,000    1,380.00     30.00
WBC      37.980   0.850    2.29%        0        0.00      0.00
WDS      25.080  -0.330   -1.30%    1,288   32,303.04   -425.04
TOTAL                                    1,005,648.11  9,390.90
