Portfolio value change between 2026-06-03 and 2026-06-04

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.465  -0.075  -4.87%  153,181  224,410.17  -11,488.57
AMP       1.480  -0.020  -1.33%   70,000  103,600.00   -1,400.00
ASM       1.475  -0.065  -4.22%   57,458   84,750.55   -3,734.77
BHP      62.800  -2.110  -3.25%   10,000  628,000.00  -21,100.00
CAN       0.004   0.000   0.00%   44,090      176.36        0.00
CBA     163.730  -1.030  -0.63%        0        0.00        0.00
CNB       0.710  -0.015  -2.07%   10,000    7,100.00     -150.00
CSL      92.590   0.350   0.38%    2,650  245,363.50      927.50
E25       0.240   0.005   2.13%   20,000    4,800.00      100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00        0.00
PTR       0.105  -0.005  -4.55%    9,412      988.26      -47.06
VML       0.115   0.005   4.55%    6,000      690.00       30.00
WBC      35.240  -0.610  -1.70%        0        0.00        0.00
WDS      31.330   0.080   0.26%    1,288   40,353.04      103.04
TOTAL                                   1,341,631.88  -36,759.86
