Portfolio value change between 2026-03-05 and 2026-03-06

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.600  -0.050  -3.03%  153,181  245,089.60   -7,659.05
AMP       1.235   0.000   0.00%   70,000   86,450.00        0.00
ASM       1.555  -0.055  -3.42%   57,458   89,347.19   -3,160.19
BHP      52.810  -2.340  -4.24%   16,361  864,024.41  -38,284.74
CAN       0.007   0.000   0.00%   44,090      308.63        0.00
CBA     172.470  -0.190  -0.11%        0        0.00        0.00
CNB       0.450  -0.025  -5.26%   10,000    4,500.00     -250.00
E25       0.365  -0.020  -5.19%   20,000    7,300.00     -400.00
ERA       0.003   0.000   0.00%  700,000    2,100.00        0.00
PTR       0.190  -0.010  -5.00%    9,412    1,788.28      -94.12
VML       0.165  -0.005  -2.94%    6,000      990.00      -30.00
WBC      41.000  -0.370  -0.89%        0        0.00        0.00
WDS      30.750   0.300   0.99%    1,288   39,606.00      386.40
TOTAL                                   1,341,504.11  -49,491.70
