Portfolio value change between 2026-08-14 and 2026-08-17

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.587   0.052     3.39%  153,181  243,098.25   7,965.41
AMP       2.280  -0.050    -2.15%   70,000  159,600.00  -3,500.00
ASM       1.245   0.025     2.05%   57,458   71,535.21   1,436.45
BHP      62.020   0.670     1.09%   11,065  686,251.30   7,413.55
CAN       0.004   0.001    33.33%   44,090      176.36      44.09
CBA     167.400   0.230     0.14%        0        0.00       0.00
CNB       0.895   0.030     3.47%   10,000    8,950.00     300.00
CSL     136.330  -0.170    -0.12%    4,000  545,320.00    -680.00
E25       0.270   0.010     3.85%   20,000    5,400.00     200.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.125   0.005     4.17%    9,412    1,176.50      47.06
VML       0.105   0.005     5.00%    6,000      630.00      30.00
WBC      35.250  -0.120    -0.34%        0        0.00       0.00
WDS      32.985   0.385     1.18%    1,288   42,484.68     495.88
TOTAL                                     1,764,622.30  12,352.44
