Portfolio value change between 2025-12-02 and 2025-12-03

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.085   0.020    1.88%  153,181  166,201.38  3,063.62
AMP       1.710  -0.005   -0.29%   70,000  119,700.00   -350.00
ASM       0.640   0.010    1.59%   57,458   36,773.12    574.58
BHP      42.960   0.400    0.94%   16,361  702,868.56  6,544.40
CAN       0.009   0.000    0.00%   44,090      396.81      0.00
CBA     152.050  -0.190   -0.12%        0        0.00      0.00
CNB       0.385   0.015    4.05%   10,000    3,850.00    150.00
E25       0.315   0.005    1.61%   20,000    6,300.00    100.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00   -700.00
PTR       0.255   0.000    0.00%    9,412    2,400.06      0.00
VML       0.195  -0.005   -2.50%    6,000    1,170.00    -30.00
WBC      37.400   0.280    0.75%        0        0.00      0.00
WDS      25.400   0.000    0.00%    1,288   32,715.20      0.00
TOTAL                                    1,073,775.14  9,352.60
