Date,Ticker,Shares,Open,High,Low,Close,Volume,Value
2025-08-27,CAN.AX,44090,0.012,0.013,0.012,0.012,890131,529.08
2025-08-27,CBA.AX,0,170.240,171.490,169.275,169.830,1134394,0.00
2025-08-27,CNB.AX,10000,0.310,0.325,0.310,0.320,36708,3200.00
2025-08-27,E25.AX,20000,0.330,0.330,0.320,0.320,55734,6400.00
2025-08-27,ERA.AX,700000,0.002,0.002,0.002,0.002,29734,1750.00
2025-08-27,PTR.AX,9412,0.320,0.335,0.303,0.330,663419,3105.96
2025-08-27,VML.AX,6000,0.170,0.260,0.170,0.210,1754048,1260.00
2025-08-27,WBC.AX,0,38.400,38.500,38.230,38.500,2631970,0.00
2025-08-27,WDS.AX,1288,27.010,27.210,26.970,27.080,4683533,34879.04
2025-08-28,ALK.AX,153181,1.045,1.082,1.035,1.050,6287204,160840.04
2025-08-28,AMP.AX,70000,1.730,1.730,1.695,1.695,2008647,118650.00
2025-08-28,ASM.AX,57458,0.590,0.625,0.585,0.605,2380768,34762.09
2025-08-28,BHP.AX,16327,42.910,43.060,42.760,43.010,6259702,702224.24
2025-08-28,CAN.AX,44090,0.012,0.014,0.012,0.012,2215128,529.08
2025-08-28,CBA.AX,0,170.370,173.350,170.160,173.350,1558387,0.00
2025-08-28,CNB.AX,10000,0.330,0.330,0.315,0.315,52601,3150.00
2025-08-28,E25.AX,20000,0.310,0.315,0.305,0.310,80862,6200.00
2025-08-28,ERA.AX,700000,0.002,0.003,0.002,0.002,894753,1400.00
2025-08-28,PTR.AX,9412,0.330,0.330,0.320,0.325,41551,3058.90
2025-08-28,VML.AX,6000,0.205,0.205,0.185,0.200,373938,1200.00
2025-08-28,WBC.AX,0,38.500,39.010,38.445,39.010,3371845,0.00
2025-08-28,WDS.AX,1288,26.160,26.240,25.920,26.150,4353289,33681.20
2025-08-29,ALK.AX,153181,1.065,1.095,1.050,1.050,9269087,160840.04
2025-08-29,AMP.AX,70000,1.685,1.720,1.680,1.710,3440237,119700.00
2025-08-29,ASM.AX,57458,0.600,0.610,0.580,0.590,746910,33900.22
2025-08-29,BHP.AX,16327,43.100,43.320,42.800,43.190,11355266,705163.11
2025-08-29,CAN.AX,44090,0.013,0.014,0.012,0.014,4173308,617.26
2025-08-29,CBA.AX,0,172.060,172.780,170.300,170.300,2230286,0.00
2025-08-29,CNB.AX,10000,0.315,0.330,0.315,0.320,189534,3200.00
2025-08-29,E25.AX,20000,0.310,0.310,0.305,0.310,3272,6200.00
2025-08-29,ERA.AX,700000,0.002,0.003,0.002,0.002,6483080,1400.00
2025-08-29,PTR.AX,9412,0.325,0.325,0.315,0.320,458071,3011.84
