Portfolio value change between 2026-08-25 and 2026-08-26

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.975,0.09,4.77%,153181,302532.48,13786.29
AMP,2.36,-0.04,-1.67%,70000,165200.0,-2800.0
ASM,0.0,-1.17,-100.00%,57458,0.0,-67225.86
BHP,68.48,0.81,1.20%,11065,757731.2,8962.65
CAN,0.003,0.0,0.00%,44090,132.27,0.0
CBA,157.76,0.75,0.48%,0,0.0,0.0
CNB,1.05,0.015,1.45%,10000,10500.0,150.0
CSL,174.39,0.75,0.43%,4000,697560.0,3000.0
E25,0.0,-0.285,-100.00%,20000,0.0,-5700.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.0,-0.11,-100.00%,9412,0.0,-1035.32
VML,0.105,0.005,5.00%,6000,630.0,30.0
WBC,34.29,0.27,0.79%,0,0.0,0.0
WDS,31.63,-1.37,-4.15%,1288,40739.44,-1764.56
TOTAL,,,,,1975025.39,-53996.8
