Portfolio value change between 2026-05-29 and 2026-06-01

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.525,0.045,3.04%,153181,233601.02,6893.14
AMP,1.6,0.005,0.31%,70000,112000.0,350.0
ASM,1.45,0.0,0.00%,57458,83314.1,0.0
BHP,62.48,0.17,0.27%,13000,812240.0,2210.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,163.3,-1.72,-1.04%,0,0.0,0.0
CNB,0.69,-0.04,-5.48%,10000,6900.0,-400.0
CSL,94.2,-2.41,-2.49%,2000,188400.0,-4820.0
E25,0.255,-0.01,-3.77%,20000,5100.0,-200.0
ERA,0.002,0.0,0.00%,700000,1400.0,0.0
PTR,0.11,0.0,0.00%,9412,1035.32,0.0
VML,0.115,-0.015,-11.54%,6000,690.0,-90.0
WBC,36.15,0.15,0.42%,0,0.0,0.0
WDS,30.67,0.01,0.03%,1288,39502.96,12.88
TOTAL,,,,,1484359.77,3956.02
