Portfolio value change between 2026-06-03 and 2026-06-04

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.465,-0.075,-4.87%,153181,224410.17,-11488.57
AMP,1.48,-0.02,-1.33%,70000,103600.0,-1400.0
ASM,1.475,-0.065,-4.22%,57458,84750.55,-3734.77
BHP,62.8,-2.11,-3.25%,10000,628000.0,-21100.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,163.73,-1.03,-0.63%,0,0.0,0.0
CNB,0.71,-0.015,-2.07%,10000,7100.0,-150.0
CSL,92.59,0.35,0.38%,2650,245363.5,927.5
E25,0.24,0.005,2.13%,20000,4800.0,100.0
ERA,0.002,0.0,0.00%,700000,1400.0,0.0
PTR,0.105,-0.005,-4.55%,9412,988.26,-47.06
VML,0.115,0.005,4.55%,6000,690.0,30.0
WBC,35.24,-0.61,-1.70%,0,0.0,0.0
WDS,31.33,0.08,0.26%,1288,40353.04,103.04
TOTAL,,,,,1341631.88,-36759.86
