Portfolio value change between 2026-09-22 and 2026-09-23

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.995,0.045,2.31%,153181,305596.1,6893.15
AMP,2.605,0.065,2.56%,70000,182350.0,4550.0
BHP,62.06,0.84,1.37%,8000,496480.0,6720.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,151.67,-0.66,-0.43%,0,0.0,0.0
CNB,0.945,0.02,2.16%,10000,9450.0,200.0
CSL,179.51,-1.21,-0.67%,4000,718040.0,-4840.0
E25,0.235,0.0,0.00%,20000,4700.0,0.0
EF2,16.64,0.09,0.54%,3045,50668.8,274.05
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.1,0.0,0.00%,9412,941.2,0.0
VML,0.095,-0.001,-1.04%,6000,570.0,-6.0
WBC,34.74,-0.17,-0.49%,0,0.0,0.0
WDS,30.98,-0.69,-2.18%,1288,39902.24,-888.72
TOTAL,,,,,1808874.7,11502.48
