Portfolio value change between 2026-01-28 and 2026-01-29

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.67,0.05,3.09%,153181,255812.27,7659.05
AMP,1.645,-0.08,-4.64%,70000,115150.0,-5600.0
ASM,1.855,0.1,5.70%,57458,106584.59,5745.8
BHP,51.51,0.91,1.80%,16361,842755.11,14888.51
CAN,0.009,-0.001,-10.00%,44090,396.81,-44.09
CBA,148.66,-1.7,-1.13%,0,0.0,0.0
CNB,0.53,0.0,0.00%,10000,5300.0,0.0
E25,0.39,0.005,1.30%,20000,7800.0,100.0
ERA,0.003,0.0,0.00%,700000,2100.0,0.0
PTR,0.27,-0.012,-4.26%,9412,2541.24,-112.94
VML,0.17,-0.01,-5.56%,6000,1020.0,-60.0
WBC,38.5,-0.37,-0.95%,0,0.0,0.0
WDS,25.16,0.18,0.72%,1288,32406.08,231.84
TOTAL,,,,,1371866.1,22808.17
