Portfolio value change between 2026-05-18 and 2026-05-19

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.53,0.06,4.08%,153181,234366.93,9190.86
AMP,1.595,0.045,2.90%,70000,111650.0,3150.0
ASM,1.42,-0.035,-2.41%,57458,81590.36,-2011.03
BHP,58.7,-0.07,-0.12%,13000,763100.0,-910.0
CAN,0.005,0.0,0.00%,44090,220.45,0.0
CBA,162.88,2.14,1.33%,0,0.0,0.0
CNB,0.53,-0.01,-1.85%,10000,5300.0,-100.0
CSL,98.69,98.69,0.00%,2000,197380.0,197380.0
E25,0.29,-0.005,-1.69%,20000,5800.0,-100.0
ERA,0.003,0.0,0.00%,700000,2100.0,0.0
PTR,0.107,0.002,1.90%,9412,1007.08,18.82
VML,0.12,0.005,4.35%,6000,720.0,30.0
WBC,36.39,0.68,1.90%,0,0.0,0.0
WDS,32.28,0.13,0.40%,1288,41576.64,167.44
TOTAL,,,,,1444811.46,206816.09
