Portfolio value change between 2026-02-16 and 2026-02-17

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.785,0.03,1.71%,153181,273428.08,4595.43
AMP,1.395,0.01,0.72%,70000,97650.0,700.0
ASM,1.55,-0.05,-3.12%,57458,89059.9,-2872.9
BHP,52.74,2.38,4.73%,16361,862879.14,38939.18
CAN,0.007,0.0,0.00%,44090,308.63,0.0
CBA,178.03,-0.25,-0.14%,0,0.0,0.0
CNB,0.49,0.015,3.16%,10000,4900.0,150.0
E25,0.32,-0.01,-3.03%,20000,6400.0,-200.0
ERA,0.003,0.0,0.00%,700000,2100.0,0.0
PTR,0.225,-0.015,-6.25%,9412,2117.7,-141.18
VML,0.17,-0.005,-2.86%,6000,1020.0,-30.0
WBC,40.74,0.13,0.32%,0,0.0,0.0
WDS,25.83,-0.01,-0.04%,1288,33269.04,-12.88
TOTAL,,,,,1373132.49,41127.65
