Portfolio value change between 2026-06-22 and 2026-06-23

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.605,-0.035,-2.13%,153181,245855.51,-5361.33
AMP,1.6,0.005,0.31%,70000,112000.0,350.0
ASM,1.32,-0.005,-0.38%,57458,75844.56,-287.29
BHP,59.92,-0.42,-0.70%,9000,539280.0,-3780.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,164.21,0.8,0.49%,0,0.0,0.0
CNB,0.595,-0.04,-6.30%,10000,5950.0,-400.0
CSL,112.04,-0.84,-0.74%,3000,336120.0,-2520.0
E25,0.23,0.01,4.55%,20000,4600.0,200.0
ERA,0.002,0.0,0.00%,700000,1400.0,0.0
PTR,0.097,-0.023,-19.17%,9412,912.96,-216.48
VML,0.105,-0.01,-8.70%,6000,630.0,-60.0
WBC,35.48,0.36,1.03%,0,0.0,0.0
WDS,28.65,-0.12,-0.42%,1288,36901.2,-154.56
TOTAL,,,,,1359670.59,-12229.66
