Portfolio value change between 2026-09-16 and 2026-09-17

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.91,-0.01,-0.52%,153181,292575.71,-1531.81
AMP,2.505,0.005,0.20%,70000,175350.0,350.0
ASM,0.0,0.0,0.00%,57458,0.0,0.0
BHP,60.03,-0.17,-0.28%,8000,480240.0,-1360.0
CAN,0.005,0.0,0.00%,44090,220.45,0.0
CBA,153.73,2.19,1.45%,0,0.0,0.0
CNB,0.87,-0.02,-2.25%,10000,8700.0,-200.0
CSL,177.41,3.0,1.72%,4000,709640.0,12000.0
E25,0.245,-0.015,-5.77%,20000,4900.0,-300.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.1,0.0,0.00%,9412,941.2,0.0
VML,0.088,0.001,1.15%,6000,528.0,6.0
WBC,34.84,0.41,1.19%,0,0.0,0.0
WDS,32.7,-0.57,-1.71%,1288,42117.6,-734.16
TOTAL,,,,,1715212.96,6830.03
