Portfolio value change between 2026-08-14 and 2026-08-17

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.595,0.06,3.91%,153181,244323.7,9190.86
AMP,2.3,-0.03,-1.29%,70000,161000.0,-2100.0
ASM,1.24,0.02,1.64%,57458,71247.92,1149.16
BHP,62.2,0.85,1.39%,11065,688243.0,9405.25
CAN,0.003,0.0,0.00%,44090,132.27,0.0
CBA,165.0,-2.17,-1.30%,0,0.0,0.0
CNB,0.905,0.04,4.62%,10000,9050.0,400.0
CSL,134.6,-1.9,-1.39%,4000,538400.0,-7600.0
E25,0.275,0.015,5.77%,20000,5500.0,300.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.13,0.01,8.33%,9412,1223.56,94.12
VML,0.102,0.002,2.00%,6000,612.0,12.0
WBC,35.07,-0.3,-0.85%,0,0.0,0.0
WDS,32.85,0.25,0.77%,1288,42310.8,322.0
TOTAL,,,,,1762043.25,9773.39
