Portfolio value change between 2026-08-18 and 2026-08-19

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.597,0.012,0.76%,153181,244630.06,1838.17
AMP,2.38,0.03,1.28%,70000,166600.0,2100.0
ASM,1.17,-0.045,-3.70%,57458,67225.86,-2585.61
BHP,63.58,-0.27,-0.42%,11065,703512.7,-2987.55
CAN,0.003,-0.001,-25.00%,44090,132.27,-44.09
CBA,160.17,-2.46,-1.51%,0,0.0,0.0
CNB,0.87,-0.005,-0.57%,10000,8700.0,-50.0
CSL,165.8,7.98,5.06%,4000,663200.0,31920.0
E25,0.275,0.01,3.77%,20000,5500.0,200.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.12,-0.005,-4.00%,9412,1129.44,-47.06
VML,0.105,-0.005,-4.55%,6000,630.0,-30.0
WBC,34.51,-0.15,-0.43%,0,0.0,0.0
WDS,33.6,0.44,1.33%,1288,43276.8,566.72
TOTAL,,,,,1904537.13,29480.58
