Portfolio value change between 2026-08-11 and 2026-08-12

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.57,-0.03,-1.87%,153181,240494.17,-4595.43
AMP,2.36,-0.01,-0.42%,70000,165200.0,-700.0
ASM,1.235,0.05,4.22%,57458,70960.63,2872.9
BHP,63.45,-0.48,-0.75%,11065,702074.25,-5311.2
CAN,0.003,-0.001,-25.00%,44090,132.27,-44.09
CBA,172.72,-1.2,-0.69%,0,0.0,0.0
CNB,0.905,0.015,1.69%,10000,9050.0,150.0
CSL,138.44,0.11,0.08%,4000,553760.0,440.0
E25,0.275,-0.005,-1.79%,20000,5500.0,-100.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.105,0.005,5.00%,9412,988.26,47.06
VML,0.1,0.001,1.01%,6000,600.0,6.0
WBC,35.37,-0.32,-0.90%,0,0.0,0.0
WDS,32.78,-0.23,-0.70%,1288,42220.64,-296.24
TOTAL,,,,,1790980.22,-8931.0
