Portfolio value change between 2026-08-07 and 2026-08-10

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.575,0.04,2.61%,153181,241260.07,6127.24
AMP,2.35,-0.07,-2.89%,70000,164500.0,-4900.0
ASM,1.215,0.105,9.46%,57458,69811.47,6033.09
BHP,63.52,0.55,0.87%,11065,702848.8,6085.75
CAN,0.003,0.0,0.00%,44090,132.27,0.0
CBA,174.27,-3.74,-2.10%,0,0.0,0.0
CNB,0.905,0.035,4.02%,10000,9050.0,350.0
CSL,134.47,2.28,1.72%,4000,537880.0,9120.0
E25,0.285,0.005,1.79%,20000,5700.0,100.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.097,0.005,5.43%,9412,912.96,47.06
VML,0.1,0.0,0.00%,6000,600.0,0.0
WBC,35.7,-2.23,-5.88%,0,0.0,0.0
WDS,31.79,-0.09,-0.28%,1288,40945.52,-115.92
TOTAL,,,,,1773641.1,21447.22
