Portfolio value change between 2026-01-20 and 2026-01-21

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.64,0.03,1.86%,153181,251216.84,4595.43
AMP,1.725,-0.075,-4.17%,70000,120750.0,-5250.0
ASM,1.59,0.865,119.31%,57458,91358.22,49701.17
BHP,48.48,0.7,1.47%,16361,793181.28,11452.7
CAN,0.009,0.0,0.00%,44090,396.81,0.0
CBA,147.22,-3.26,-2.17%,0,0.0,0.0
CNB,0.555,-0.01,-1.77%,10000,5550.0,-100.0
E25,0.395,0.03,8.22%,20000,7900.0,600.0
ERA,0.003,0.0,0.00%,700000,2100.0,0.0
PTR,0.275,0.005,1.85%,9412,2588.3,47.06
VML,0.195,0.005,2.63%,6000,1170.0,30.0
WBC,38.11,-0.48,-1.24%,0,0.0,0.0
WDS,23.52,0.02,0.09%,1288,30293.76,25.76
TOTAL,,,,,1306505.21,61102.12
