Portfolio value change between 2026-07-16 and 2026-07-17

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.335,-0.055,-3.96%,153181,204496.63,-8424.95
AMP,1.987,0.087,4.58%,70000,139090.0,6090.0
ASM,1.03,-0.03,-2.83%,57458,59181.74,-1723.74
BHP,57.35,-1.79,-3.03%,11065,634577.75,-19806.35
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,170.64,-2.49,-1.44%,0,0.0,0.0
CNB,0.5,-0.035,-6.54%,10000,5000.0,-350.0
CSL,123.94,1.99,1.63%,3450,427593.0,6865.5
E25,0.0,-0.235,-100.00%,20000,0.0,-4700.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.083,-0.001,-1.19%,9412,781.2,-9.41
VML,0.105,0.0,0.00%,6000,630.0,0.0
WBC,36.28,-0.35,-0.96%,0,0.0,0.0
WDS,30.28,0.79,2.68%,1288,39000.64,1017.52
TOTAL,,,,,1510527.32,-22441.44
