Portfolio value change between 2026-01-29 and 2026-01-30

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.635,-0.035,-2.10%,153181,250450.93,-5361.33
AMP,1.695,0.05,3.04%,70000,118650.0,3500.0
ASM,1.715,-0.14,-7.55%,57458,98540.47,-8044.12
BHP,50.57,-0.94,-1.82%,16361,827375.77,-15379.34
CAN,0.008,-0.001,-11.11%,44090,352.72,-44.09
CBA,149.36,0.7,0.47%,0,0.0,0.0
CNB,0.485,-0.045,-8.49%,10000,4850.0,-450.0
E25,0.35,-0.04,-10.26%,20000,7000.0,-800.0
ERA,0.004,0.001,33.33%,700000,2800.0,700.0
PTR,0.255,-0.015,-5.56%,9412,2400.06,-141.18
VML,0.17,0.0,0.00%,6000,1020.0,0.0
WBC,38.82,0.32,0.83%,0,0.0,0.0
WDS,25.37,0.21,0.83%,1288,32676.56,270.48
TOTAL,,,,,1346116.52,-25749.58
