Portfolio value change between 2026-05-01 and 2026-05-04

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.475,0.0,0.00%,153181,225941.98,0.0
AMP,1.47,0.005,0.34%,70000,102900.0,350.0
ASM,1.655,-0.015,-0.90%,57458,95092.99,-861.87
BHP,54.95,0.01,0.02%,16361,899036.95,163.61
CAN,0.005,0.0,0.00%,44090,220.45,0.0
CBA,172.21,-0.83,-0.48%,0,0.0,0.0
CNB,0.455,-0.025,-5.21%,10000,4550.0,-250.0
E25,0.295,0.005,1.72%,20000,5900.0,100.0
ERA,0.004,0.0,0.00%,700000,2800.0,0.0
PTR,0.105,0.006,6.06%,9412,988.26,56.47
VML,0.15,0.0,0.00%,6000,900.0,0.0
WBC,38.5,0.05,0.13%,0,0.0,0.0
WDS,32.11,-1.01,-3.05%,1288,41357.68,-1300.88
TOTAL,,,,,1379688.3,-1742.67
